regime,dataset,model,arm,n_folds,expected,mean_ntest,total_ntest,mean_pcc,std_pcc,mean_runtime_s,platform,status
Benchmarks 50ep/p10,S2003,ESM-C 600M,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,ESM-C 600M,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,ESM-C 6B,base,10,10,112,1124,0.851907,0.037908,10743.3,CUDA*,done
Benchmarks 50ep/p10,S2003,ESM-C 6B,aug,10,10,112,1124,0.856586,0.043896,81061.1,CUDA*,done
Benchmarks 50ep/p10,S2003,ESM-C 6B,fx_scalar,10,10,112,1124,0.876036,0.037199,1897.7,CUDA*,done
Benchmarks 50ep/p10,S2003,ESM-C 6B,fx_mlp,10,10,112,1124,0.885489,0.032909,2126.9,CUDA*,done
Benchmarks 50ep/p10,S2003,Ankh3-large,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-large,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-large,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-xl,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-xl,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-xl,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,Ankh3-xl,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,AIDO-16B,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,AIDO-16B,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,AIDO-16B,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,AIDO-16B,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,MINT,base,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,MINT,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,MINT,fx_scalar,0,10,,,,,,,empty
Benchmarks 50ep/p10,S2003,MINT,fx_mlp,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh-large,base,10,10,250,2497,0.798092,0.041837,31928.1,MPS*,done
Benchmarks 50ep/p10,S4169,Ankh-large,aug,0,10,,,,,,,empty
Benchmarks 50ep/p10,S4169,Ankh-large,fx_scalar,0,10,,,,,,,empty
