tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
fullSK MP-bycomplex,prostt5,fx_scalar,0.4163,0.3035,0.5197,43,1636,,,0.0349,-0.0427,0.1142,42
fullSK MP-bycomplex,saprot,base,0.1758,0.0578,0.2903,43,1636,,,-0.2232,-0.3503,-0.0944,42
fullSK MP-bycomplex,saprot,fx_mlp,0.2685,0.1488,0.3836,43,1636,,,-0.1202,-0.2318,-0.0105,42
fullSK MP-bycomplex,saprot,fx_scalar,0.3078,0.1830,0.4260,43,1636,,,-0.0782,-0.1859,0.0227,42
fullSK MP-clustered,—,FoldX alone,0.3933,0.2938,0.4899,42,1636,0.9872,0.3933,,,,
fullSK MP-clustered,ankh,base,0.0914,0.0089,0.1739,43,1636,,,-0.2944,-0.4089,-0.1779,42
fullSK MP-clustered,ankh,fx_mlp,0.3550,0.2586,0.4457,43,1636,,,-0.0326,-0.0933,0.0281,42
fullSK MP-clustered,ankh,fx_scalar,0.3307,0.2295,0.4232,43,1636,,,-0.0666,-0.1278,-0.0100,42
fullSK MP-clustered,esmc6b,base,0.1374,0.0259,0.2478,43,1636,,,-0.2472,-0.3709,-0.1197,42
fullSK MP-clustered,esmc6b,fx_mlp,0.3197,0.2145,0.4149,43,1636,,,-0.0581,-0.1218,0.0023,42
fullSK MP-clustered,esmc6b,fx_scalar,0.2697,0.1640,0.3685,43,1636,,,-0.1053,-0.1811,-0.0274,42
fullSK MP-clustered,ankh3_large,base,0.2010,0.0957,0.3033,43,1636,,,-0.1905,-0.2870,-0.0954,42
fullSK MP-clustered,ankh3_large,fx_mlp,0.2877,0.1744,0.3948,43,1636,,,-0.0965,-0.1632,-0.0331,42
fullSK MP-clustered,ankh3_large,fx_scalar,0.3087,0.1931,0.4165,43,1636,,,-0.0807,-0.1418,-0.0203,42
fullSK MP-clustered,ankh3_xl,base,0.1445,0.0547,0.2371,43,1636,,,-0.2569,-0.3688,-0.1449,42
fullSK MP-clustered,ankh3_xl,fx_mlp,0.3245,0.2050,0.4362,43,1636,,,-0.0769,-0.1390,-0.0179,42
fullSK MP-clustered,ankh3_xl,fx_scalar,0.2726,0.1556,0.3855,43,1636,,,-0.1210,-0.1861,-0.0583,42
fullSK MP-clustered,aido,base,0.0532,-0.0403,0.1449,43,1636,,,-0.3253,-0.4339,-0.2132,42
fullSK MP-clustered,aido,fx_mlp,0.1723,0.0572,0.2813,43,1636,,,-0.2201,-0.3426,-0.1127,42
fullSK MP-clustered,aido,fx_scalar,0.2875,0.1811,0.3832,43,1636,,,-0.0932,-0.1720,-0.0251,42
fullSK MP-clustered,prostt5,base,0.0668,-0.0293,0.1627,43,1636,,,-0.3310,-0.4167,-0.2440,42
fullSK MP-clustered,prostt5,fx_mlp,0.3418,0.2388,0.4375,43,1636,,,-0.0448,-0.1032,0.0100,42
fullSK MP-clustered,prostt5,fx_scalar,0.3435,0.2185,0.4573,43,1636,,,-0.0464,-0.0979,0.0004,42
fullSK MP-clustered,saprot,base,-0.0083,-0.1320,0.1194,43,1636,,,-0.3990,-0.5372,-0.2640,42
fullSK MP-clustered,saprot,fx_mlp,0.1944,0.0735,0.3063,43,1636,,,-0.1975,-0.3070,-0.1033,42
fullSK MP-clustered,saprot,fx_scalar,0.2263,0.1130,0.3376,43,1636,,,-0.1552,-0.2492,-0.0677,42
S1102 by-complex,—,FoldX alone,0.4425,0.3585,0.5177,24,1100,1.0000,0.4425,,,,
S1102 by-complex,ankh,base,0.2888,0.1510,0.4247,24,1100,,,-0.1537,-0.3271,0.0238,24
